bee_sp,bee_common,Wikipedia,Canada_bee,Wikipedia_common,Canada_bee_common,picture_address
"Colletes
fulgidus",Plasterer bees,https://en.wikipedia.org/wiki/Colletes_fulgidus,"http://www.beesofcanada.com/species/colletes-fulgidus-fulgidus-swenk,-1904",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-fulgidus-fulgidus-swenk,-1904",
"Colletes
kincaidii",Plasterer bees,https://en.wikipedia.org/wiki/Colletes_kincaidii,"http://www.beesofcanada.com/species/colletes-kincaidii-cockerell,-1898",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-kincaidii-cockerell,-1898",
"Conophorus
columbiensis",Lesser bee flies,https://en.wikipedia.org/wiki/Conophorus_columbiensis,N/A,https://en.wikipedia.org/wiki/Conophorus,N/A,
"Conophorus
sackenii",Lesser bee flies,https://en.wikipedia.org/wiki/Conophorus_sackenii,N/A,https://en.wikipedia.org/wiki/Conophorus,N/A,
"Cortodera
subpilosa",Longhorn beetle,https://en.wikipedia.org/wiki/Cortodera_subpilosa,N/A,https://en.wikipedia.org/wiki/Longhorn_beetle,N/A,
"Dianthidium
subparvum",Resin bee,https://en.wikipedia.org/wiki/Dianthidium_subparvum,http://www.beesofcanada.com/species/dianthidium-subparvum,https://en.wikipedia.org/wiki/Dianthidium,http://www.beesofcanada.com/species/dianthidium-subparvum,
"Dolichovespula
arenaria",Yellowjackets,https://en.wikipedia.org/wiki/Dolichovespula_arenaria,N/A,https://en.wikipedia.org/wiki/Yellowjacket,N/A,
"Dolichovespula
maculata",Yellowjackets,https://en.wikipedia.org/wiki/Bald-faced_hornet,N/A,https://en.wikipedia.org/wiki/Yellowjacket,N/A,
"Dufourea
trochantera",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/dufourea-trochantera,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/dufourea-trochantera,
"Epalpus
signifer",Tachinid flies,https://en.wikipedia.org/wiki/Epalpus_signifer,N/A,https://en.wikipedia.org/wiki/Tachinidae,N/A,
"Epeolus
minimus",Variegated cuckoo-bees,https://en.wikipedia.org/wiki/Epeolus_minimus,http://www.beesofcanada.com/species/epeolus-minimus,https://en.wikipedia.org/wiki/Epeolus,http://www.beesofcanada.com/species/epeolus-minimus,
