plant_sp,plant_common,New_genus,Wikipedia,pacific north west consortium,Wikipedia_common,pacific north west consortium_common,Invasive_non_invasive,Drought_tolerant,Hardinesss_zone
"Minuartia
tenella",Sandworts,Sabulina macra,https://en.wikipedia.org/wiki/Minuartia_tenella,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Sabulina&Species1=macra&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Sabulina,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Sabulina&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Moeringia
macrophylla",Largeleaf sandwort,Moehringia macrophylla,https://en.wikipedia.org/wiki/Moehringia_macrophylla,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Moehringia&IncludeSynonyms1=Y&Species1=macrophylla&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Moehringia,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Moehringia&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Monarda
didyma",Bee balm,,https://en.wikipedia.org/wiki/Monarda_didyma,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Monarda&IncludeSynonyms1=Y&Species1=didyma&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Monarda,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Monarda&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,Moist fresh,Zone 3-5
"Montia
linearis",Miner's lettuce,,https://en.wikipedia.org/wiki/Montia_linearis,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Montia&IncludeSynonyms1=Y&Species1=linearis&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Montia,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Montia&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Montia
parvifolia",Miner's lettuce,,https://en.wikipedia.org/wiki/Montia_parvifolia,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Montia&Species1=parvifolia&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Montia,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Montia&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
Myosotis,Scorpion grasses,,https://en.wikipedia.org/wiki/Myosotis,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Myosotis&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Myosotis,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Myosotis&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Certain species,,
"Myosotis
scorpioides",Scorpion grasses,,https://en.wikipedia.org/wiki/Myosotis_scorpioides,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Myosotis&IncludeSynonyms1=Y&Species1=scorpioides&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Myosotis,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Myosotis&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Nemophila
menzeisii",Baby blue eyes,,https://en.wikipedia.org/wiki/Nemophila_menziesii,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Nemophila&IncludeSynonyms1=Y&Species1=menziesii&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Nemophila,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Nemophila&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
Nepeta,Catmints,,https://en.wikipedia.org/wiki/Nepeta,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Nepeta&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Nepeta,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Nepeta&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Opuntia
fragilis",Prickly pear,,https://en.wikipedia.org/wiki/Opuntia_fragilis,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=opuntia&IncludeSynonyms1=Y&Species1=fragilis&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Opuntia,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=opuntia&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
